Date,HDFCBANK.NS,INFY.NS,ITC.NS,LT.NS,RELIANCE.NS,SUNPHARMA.NS
2019-01-01,496.18585205078125,541.7259521484375,196.50270080566406,1283.00634765625,496.1963806152344,401.7030944824219
2019-01-02,491.658447265625,544.9840698242188,195.0430145263672,1268.4134521484375,489.7339172363281,407.72564697265625
2019-01-03,487.8009338378906,545.0654907226562,193.8265838623047,1241.2745361328125,483.6919250488281,404.0657958984375
2019-01-04,489.1060485839844,538.4676513671875,195.28627014160156,1235.0904541015625,486.3034362792969,401.93475341796875
2019-01-07,489.8452453613281,547.1427612304688,195.77284240722656,1231.308837890625,489.0035400390625,399.15509033203125
2019-01-08,485.76824951171875,545.798583984375,197.58009338378906,1229.885009765625,488.95928955078125,415.13800048828125
2019-01-09,488.9559326171875,550.7267456054688,201.8549041748047,1233.3109130859375,491.65936279296875,415.7865295410156
2019-01-10,487.0386962890625,553.6591796875,201.298828125,1239.13916015625,490.2208251953125,411.9413757324219
2019-01-11,487.8240051269531,556.7545776367188,205.29562377929688,1218.6734619140625,486.03790283203125,411.7560729980469
2019-01-14,485.4563903808594,571.7425537109375,204.56578063964844,1186.9075927734375,485.4845886230469,417.7322998046875
2019-01-15,490.1339111328125,591.8621215820312,206.1297607421875,1193.1361083984375,500.0252380371094,419.21478271484375
2019-01-16,489.7412414550781,600.1707153320312,204.3920135498047,1194.2486572265625,502.7917175292969,420.4656677246094
2019-01-17,492.5362854003906,597.3605346679688,204.32249450683594,1197.71875,502.14984130859375,395.21728515625
2019-01-18,492.06268310546875,595.405517578125,202.5847625732422,1172.6708984375,524.2374267578125,362.0470886230469
2019-01-21,496.19744873046875,606.8502807617188,201.50735473632812,1169.6900634765625,547.8522338867188,369.0423583984375
2019-01-22,493.35626220703125,607.13525390625,201.403076171875,1157.7664794921875,546.7234497070312,388.17547607421875
2019-01-23,486.3225402832031,595.9757080078125,192.7491912841797,1158.0335693359375,542.8060302734375,399.3404235839844
2019-01-24,485.59503173828125,599.5386962890625,193.861328125,1152.605712890625,552.1677856445312,391.9280700683594
2019-01-25,484.1513671875,598.1871948242188,194.0698699951172,1143.796630859375,551.5260009765625,391.37213134765625
2019-01-28,481.4141540527344,596.2215576171875,190.97669982910156,1157.1435546875,544.24462890625,381.5044250488281
2019-01-29,475.28143310546875,596.1806640625,193.54855346679688,1137.212158203125,535.8788452148438,391.37213134765625
2019-01-30,469.9917907714844,594.5425415039062,191.49801635742188,1151.8050537109375,529.2614135742188,387.2490234375
2019-01-31,480.44403076171875,613.9129028320312,193.6875762939453,1169.4674072265625,543.182373046875,392.3450622558594
2019-02-01,482.8693542480469,620.0556640625,195.21676635742188,1178.63232421875,553.2744140625,392.1596984863281
2019-02-04,486.2071228027344,619.11376953125,192.61016845703125,1163.327880859375,571.4005126953125,384.3303527832031
2019-02-05,488.32080078125,618.2537841796875,190.55963134765625,1160.83642578125,571.6881103515625,379.790283203125
2019-02-06,490.30718994140625,625.1746826171875,193.02720642089844,1169.5565185546875,579.9654541015625,385.99822998046875
2019-02-07,489.0598449707031,625.7479858398438,194.83447265625,1153.228515625,571.1790771484375,402.9539489746094
2019-02-08,490.30718994140625,623.208984375,191.49801635742188,1122.70849609375,565.5576782226562,399.3867492675781
2019-02-11,494.2340087890625,624.7650756835938,192.61016845703125,1109.138916015625,554.7351684570312,397.07037353515625
2019-02-12,491.93560791015625,614.6500244140625,191.35899353027344,1109.4501953125,556.12939453125,404.529052734375
2019-02-14,487.431396484375,606.1320190429688,193.166259765625,1092.3216552734375,541.8765258789062,408.51318359375
2019-02-15,485.2254638671875,607.6881103515625,194.6954345703125,1106.1134033203125,550.8399658203125,391.8353576660156
2019-02-18,482.7423400878906,606.9509887695312,190.94195556640625,1107.3594970703125,540.0618286132812,384.19140625
2019-02-19,481.3910827636719,593.2319946289062,191.7760467529297,1119.6385498046875,538.2911376953125,383.2648620605469
2019-02-20,487.0040588378906,606.664306640625,191.74131774902344,1135.87744140625,546.3693237304688,391.3258056640625
2019-02-21,488.7480163574219,600.7262573242188,191.18524169921875,1142.595458984375,551.9244995117188,398.1359558105469
